기준일자,회사명,회사아이디,노선번호,노선아이디,순번,정류소명,정류소번호,아이에스씨 번호,정류소구간거리,정류소간누적거리,주요경유지여부,상_하행
2023-12-31,강인교통,166012,302,165000067,1,십정동차고지,40913,2807789,0,0,N,상행
2023-12-31,강인교통,166012,302,165000067,2,십정사거리,40029,2801793,560,560,Y,상행
2023-12-31,강인교통,166012,302,165000067,3,선린감리교회,40043,2801779,245,805,Y,상행
2023-12-31,강인교통,166012,302,165000067,4,백영아파트,40058,2801766,363,1168,Y,상행
2023-12-31,강인교통,166012,302,165000067,5,상정고,40069,2801756,371,1539,N,상행
2023-12-31,강인교통,166012,302,165000067,6,백운공원(부평아트센터),40076,2801749,396,1935,Y,상행
2023-12-31,강인교통,166012,302,165000067,7,부평도서관,40082,2801743,325,2260,Y,상행
2023-12-31,강인교통,166012,302,165000067,8,현대아파트,40788,2801185,525,2785,N,상행
2023-12-31,강인교통,166012,302,165000067,9,2001아울렛,40159,2801687,392,3177,N,상행
2023-12-31,강인교통,166012,302,165000067,10,부원중학교,40789,2801184,476,3653,N,상행
2023-12-31,강인교통,166012,302,165000067,11,부평역(대한극장),40196,2801659,377,4030,N,상행
2023-12-31,강인교통,166012,302,165000067,12,부평역,40209,2801647,324,4354,Y,상행
2023-12-31,강인교통,166012,302,165000067,13,힘찬병원,40891,2806781,644,4998,N,상행
2023-12-31,강인교통,166012,302,165000067,14,부흥초등학교,40304,2801568,253,5251,N,상행
2023-12-31,강인교통,166012,302,165000067,15,부흥오거리(부흥아파트),40392,2801498,509,5760,Y,상행
2023-12-31,강인교통,166012,302,165000067,16,정병원,40413,2801479,499,6259,N,상행
2023-12-31,강인교통,166012,302,165000067,17,부개여자고등학교,40421,2801473,207,6466,Y,상행
2023-12-31,강인교통,166012,302,165000067,18,부평동중,40406,2801486,321,6787,N,상행
2023-12-31,강인교통,166012,302,165000067,19,수변로삼거리,40370,2801519,281,7068,N,상행
2023-12-31,강인교통,166012,302,165000067,20,부개성일아파트,40301,2801571,162,7230,N,상행
2023-12-31,강인교통,166012,302,165000067,21,부개역,40256,2801610,352,7582,N,상행
2023-12-31,강인교통,166012,302,165000067,22,송내고교입구,11015,2807616,484,8066,Y,상행
2023-12-31,강인교통,166012,302,165000067,23,자동차매매단지,11020,2807617,242,8308,N,상행
2023-12-31,강인교통,166012,302,165000067,24,송내역.영화의거리,55263,2806090,669,8977,Y,상행
2023-12-31,강인교통,166012,302,165000067,25,법원.검찰청.복사골문화센터.반달마을,55020,2800225,462,9439,N,상행
2023-12-31,강인교통,166012,302,165000067,26,사랑마을벽산.선경.삼익아파트,55030,2800217,282,9721,N,상행
2023-12-31,강인교통,166012,302,165000067,27,포도마을,55039,2800210,555,10276,N,상행
2023-12-31,강인교통,166012,302,165000067,28,금강마을,55068,2800187,798,11074,Y,상행
2023-12-31,강인교통,166012,302,165000067,29,중원고등학교,55078,2800177,714,11788,N,상행
2023-12-31,강인교통,166012,302,165000067,30,부천테크노파크1단지,57003,2800143,475,12263,N,상행
2023-12-31,강인교통,166012,302,165000067,31,서운일반산업단지입구,41646,2803592,1814,14077,Y,상행
2023-12-31,강인교통,166012,302,165000067,32,계양체육관(아시아드양궁장),41454,2808020,564,14641,N,상행
