정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
(구)국제여객터미널,35051,6,1070,2,1070,4,34
(구)국제여객터미널,35052,1470,23,1465,23,5,48
(주)경동세라믹스,89146,588,22,583,22,5,19
(주)경인양행앞,42096,1137,952,1137,952,0,67
(주)경인양행앞,42097,1870,4050,1870,4050,0,190
(주)대한특수금속,39050,1306,72,1306,72,0,44
(주)두남,39135,288,67,288,67,0,11
(주)세모입구(린나이코리아),37585,1182,2086,1182,2086,0,105
(주)세모입구(린나이코리아),40893,346,829,346,829,0,37
(주)스킨이데아,89388,302,426,302,426,0,23
(주)스킨이데아,89389,2396,12,2396,12,0,77
(주)씨피엔텍,39133,494,3523,494,3523,0,129
(주)씨피엔텍,39134,2227,454,2227,454,0,86
(주)창원,39029,3492,3011,3492,3011,0,209
(주)창원,39030,4333,3761,4333,3761,0,261
(주)하나금속,39124,20,57,20,57,0,2
17사단.다임메가타운,40895,2002,4579,1996,4579,6,212
17사단입구,40832,9,457,4,457,5,15
1차풍림아이원,42642,4988,9,4988,9,0,161
2001아울렛,40154,3147,5278,3147,5278,0,271
2001아울렛,40159,29219,11849,29180,11849,39,1324
2001아울렛,40162,9787,20209,9770,20209,17,967
2001아울렛부평점,40158,4409,2296,4372,2296,37,216
2차풍림아이원,42584,22,10583,22,10583,0,342
3단지,40736,102,1605,102,1605,0,55
3단지관리사무소,40107,1685,275,1685,275,0,63
41번구종점,42174,2011,5884,2011,5884,0,254
510번차고지,36145,948,343,948,343,0,41
540번종점,39470,3028,40,2990,40,38,98
6공단사거리,37577,299,2391,298,2391,1,86
6공단입구,37442,616,877,616,877,0,48
6공단입구,37443,1012,1530,1012,1530,0,82
8부두,35181,151,1919,147,1919,4,66
8부두,35182,1423,2137,1408,2137,15,114
CJ인천2공장,35591,335,3342,330,3342,5,118
CJ인천2공장,35592,2552,79,2550,79,2,84
E편한세상,42453,2261,918,2259,918,2,102
E편한세상,42649,1359,2763,1359,2763,0,132
