정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
(구)국제여객터미널,35051,19,1169,9,1169,10,38
(구)국제여객터미널,35052,1554,20,1544,20,10,50
(구)시민회관사거리,37319,4794,44340,4767,44340,27,1584
(구)시민회관사거리,37326,93402,18325,93294,18325,108,3604
(주)경동세라믹스,89146,611,24,610,24,1,20
(주)경인양행앞,42096,1083,980,1083,980,0,66
(주)경인양행앞,42097,1896,3882,1896,3882,0,186
(주)대한특수금속,39050,1159,68,1159,68,0,39
(주)두남,39135,202,55,202,55,0,8
(주)세모입구(린나이코리아),37585,1283,1916,1283,1916,0,103
(주)세모입구(린나이코리아),40893,318,745,318,745,0,34
(주)스킨이데아,89388,418,414,418,414,0,26
(주)스킨이데아,89389,2209,13,2209,13,0,71
(주)씨피엔텍,39133,532,3404,530,3404,2,126
(주)씨피엔텍,39134,1955,419,1947,419,8,76
(주)창원,39029,3331,2859,3329,2859,2,199
(주)창원,39030,3914,3663,3914,3663,0,244
(주)하나금속,39124,9,67,9,67,0,2
17사단.다임메가타운,40895,1994,4708,1994,4708,0,216
17사단입구,40832,22,464,20,464,2,15
1차풍림아이원,42642,5142,14,5142,14,0,166
2001아울렛,40154,3336,5319,3336,5319,0,279
2001아울렛,40159,30444,12923,30403,12923,41,1398
2001아울렛,40162,10417,21280,10392,21280,25,1022
2001아울렛부평점,40158,4522,2266,4494,2266,28,218
2차풍림아이원,42584,27,11071,27,11071,0,358
3단지,40736,185,1545,185,1545,0,55
3단지관리사무소,40107,1693,430,1693,430,0,68
41번구종점,42174,1951,6229,1950,6229,1,263
510번차고지,36145,947,356,946,356,1,42
540번종점,39470,3343,31,3315,31,28,108
6공단사거리,37577,276,2458,274,2458,2,88
6공단입구,37442,613,877,611,877,2,48
6공단입구,37443,992,1681,992,1681,0,86
8부두,35181,168,1882,165,1882,3,66
8부두,35182,1510,1963,1504,1963,6,112
CJ인천2공장,35591,301,3025,299,3025,2,107
CJ인천2공장,35592,2200,93,2198,93,2,73
E편한세상,42453,3105,1617,3102,1617,3,152
E편한세상,42649,1370,3166,1367,3166,3,146
E편한세상,42726,3179,1577,3176,1577,3,153
GM물류센터,40568,470,1224,470,1224,0,54
GS25편의점,36142,1147,2630,1124,2630,23,121
GS내리주유소,44130,0,1,0,1,0,0
GS내리주유소,44147,2,0,1,0,1,0
GS칼텍스,35168,537,41,530,41,7,18
GS칼텍스,35557,6,2061,6,2061,0,66
GS칼텍스,89220,124,592,124,592,0,23
GS칼텍스,89224,101,1298,101,1298,0,45
GS칼텍스주유소,39814,207,10,207,10,0,7
HD현대인프라코어,36081,651,1532,651,1532,0,70
HD현대인프라코어,36083,2209,1017,2195,1017,14,104
HD현대인프라코어후문,36077,23,747,12,747,11,24
HD현대인프라코어후문,36078,3839,831,3834,831,5,150
JC회관,37383,4002,4188,3993,4188,9,264
JST기술연구소,89491,3,1557,3,1557,0,50
JST기술연구소,89492,546,27,540,27,6,18
KCC아파트,42391,2201,1611,2200,1611,1,122
KG스틸,42008,2317,4249,2308,4249,9,211
KTX광명역4번출구,58057,2858,17,2858,17,0,92
KT부평지사,40381,10218,6734,10142,6734,76,546
KT부평지사,40384,7236,12846,7215,12846,21,647
KT서인천지사,42932,1465,2564,1464,2564,1,129
KT서인천지사,42933,1714,930,1712,930,2,85
KT송도지점,38568,714,449,714,449,0,37
KT온수분국,43523,703,282,703,282,0,31
KT인천공항지사,35095,232,82,231,82,1,10
KT인천공항지사,35109,6825,3356,6806,3356,19,328
KT인천지사,37415,6153,4315,6126,4315,27,337
KT인천지사,39319,8162,4857,8103,4857,59,419
KT중동지사,55081,852,196,847,196,5,33
KT중동지사,55082,148,1198,148,1198,0,43
LG마그나,89029,6367,2563,6361,2563,6,288
LG마그나,89264,3057,5462,3057,5462,0,274
LG물류센터,39043,408,156,408,156,0,18
LG물류센터,39044,76,543,76,543,0,19
LG전자(주),42297,4634,4065,4634,4065,0,280
LH1단지,35494,9268,4467,9265,4467,3,443
LH1단지,35495,4770,6400,4769,6400,1,360
LH49단지행복주택아파트,35768,756,1431,755,1431,1,70
LH49단지행복주택아파트,35769,1942,800,1942,800,0,88
LH7단지,35451,3552,1903,3547,1903,5,175
LH7단지,35452,2264,3424,2264,3424,0,183
LH미추홀3단지,37222,3040,6438,2997,6438,43,305
LH미추홀3단지,37635,6618,2934,6593,2934,25,308
LH웨스턴블루힐정문,89184,1549,3323,1548,3323,1,157
LH웨스턴블루힐정문,89185,4114,3628,4106,3628,8,249
NKG물류센터,89212,275,80,275,80,0,11
SK.GS주유소,89230,1384,1639,1384,1639,0,97
SK.GS주유소,89231,1752,1881,1752,1881,0,117
SKLPG충전사업소,35636,868,27,855,27,13,28
SKLPG충전사업소,35638,33,880,7,880,26,29
SK뷰아파트,42888,1402,5662,1402,5662,0,227
SK뷰아파트,42889,7595,1209,7595,1209,0,284
SK스카이뷰,37601,410,31326,408,31326,2,1023
SK스카이뷰104동,37587,6861,45,6861,45,0,222
SK스카이뷰109동,37607,7519,62,7519,62,0,244
SK인천석유화학,42767,1305,659,1295,659,10,63
SK인천석유화학,42768,401,731,401,731,0,36
SK주유소,42956,257,297,257,297,0,17
SK주유소앞,35287,1378,137,1375,137,3,48
SK주유소앞,35539,69,1339,69,1339,0,45
SK충전소,35085,32,2468,24,2468,8,80
e편한세상 정문,38624,20602,1262,20597,1262,5,705
e편한세상(109동 앞),32062,689,1328,689,1328,0,65
e편한세상(109동앞),38643,1018,497,1018,497,0,48
e편한세상1차(정문),35662,540,1005,539,1005,1,49
e편한세상1차(정문),35663,1435,485,1435,485,0,61
e편한세상계양,41037,14605,3570,14591,3570,14,586
e편한세상계양,41038,4974,14375,4968,14375,6,624
e편한세상영종센텀베뉴정문,35510,1255,4415,1255,4415,0,182
e편한세상영종오션하임,35674,1693,681,1693,681,0,76
e편한세상영종오션하임,35761,641,1704,641,1704,0,75
e편한세상영종하늘도시,35646,476,678,475,678,1,37
e편한세상영종하늘도시,35647,253,384,253,384,0,20
gym80fitness,37081,2632,886,2619,886,13,113
가경공원,89365,1044,545,1044,545,0,51
가구단지사거리,37455,2795,3660,2784,3660,11,208
가구단지사거리,37456,2890,2091,2889,2091,1,160
가구전시장,42072,356,550,356,550,0,29
가구전시장,42074,763,512,761,512,2,41
가나안마을앞,43904,0,15,0,15,0,0
가나안마을앞,43905,36,1,34,1,2,1
가능포,43969,3,5,3,5,0,0
가능포,43970,0,25,0,25,0,0
가림고등학교,42078,11211,13032,11168,13032,43,782
가야,42807,1107,4,1107,4,0,35
가야,42808,25,1235,25,1235,0,40
가오대입구,80033,119,383,114,383,5,16
가오대입구,80034,93,648,92,648,1,23
가원초등학교,42952,5800,4678,5793,4678,7,338
가원초등학교,89118,2748,5301,2739,5301,9,259
가재우물터,35678,15,10,15,10,0,0
가재우물터,35700,6,21,6,21,0,0
가재울사거리,42039,2221,5573,2219,5573,2,251
가재울사거리,42042,8573,4653,8547,4653,26,426
가재울역,42034,2454,3148,2445,3148,9,180
가재울역,42035,3788,2159,3770,2159,18,191
가정(루원시티)역,89050,6435,52441,6435,52441,0,1899
가정(루원시티)역,89051,69694,8713,69694,8713,0,2529
가정(루원시티)역,89075,73866,77961,73812,77961,54,4897
가정(루원시티)역,89078,80341,69755,80296,69755,45,4841
가정3동성당,42226,433,3477,432,3477,1,126
가정LH3단지정문앞,89041,18557,3942,18518,3942,39,725
가정고등학교,42200,11384,4343,11268,4343,116,507
가정고등학교,42203,3297,7993,3280,7993,17,364
가정교,89502,107,1205,98,1205,9,42
가정교,89503,1623,247,1620,247,3,60
가정교차로,89390,357,915,356,915,1,41
가정교차로,89391,308,2490,308,2490,0,90
가정동성당,89102,3206,3730,3202,3730,4,223
가정동성당,89105,2520,1724,2514,1724,6,136
가정보금자리,89119,1464,712,1464,712,0,70
가정보금자리,89120,90,1473,90,1473,0,50
가정여자중학교,42041,928,8176,916,8176,12,293
가정여중입구,89303,897,984,870,984,27,60
가정중앙시장역,42215,1059,1369,1058,1369,1,78
가정중앙시장역,42219,1234,1507,1221,1507,13,88
가정택지삼거리,89385,263,136,263,136,0,12
가정택지삼거리,89386,157,520,157,520,0,21
가정휴먼시아3단지,89186,1349,1630,1349,1630,0,96
가정휴먼시아3단지,89187,1719,1762,1719,1762,0,112
가좌2동행정복지센터,42073,6045,420,5998,420,47,208
가좌2동행정복지센터,42076,135,4930,125,4930,10,163
가좌3동행정복지센터,42075,12365,12617,12309,12617,56,805
가좌4동행정복지센터,42062,5122,6792,5088,6792,34,384
가좌고등학교,42060,15108,11654,15040,11654,68,863
가좌고등학교,42061,5377,8045,5340,8045,37,432
가좌공단,42526,28,9408,23,9408,5,304
가좌공단,42945,7471,267,7467,267,4,249
가좌교회,42055,3289,7558,3278,7558,11,349
가좌교회,42057,3750,3477,3744,3477,6,233
가좌녹지공원,42029,1798,4017,1784,4017,14,187
가좌녹지공원,42030,2291,1744,2277,1744,14,130
가좌농협,42066,8631,6573,8567,6573,64,490
가좌농협,42067,6092,6228,6029,6228,63,397
가좌동차고,42939,2041,262,1966,262,75,74
가좌동차고지,42522,101,1028,24,1028,77,36
가좌두산위브104동앞,42090,4774,3152,4752,3152,22,255
가좌사거리,42043,28,264,20,264,8,9
가좌사거리,42044,491,4838,466,4838,25,171
가좌진주아파트,42100,13738,27890,13688,27890,50,1342
가좌체육공원,42058,7548,1192,7508,1192,40,281
가좌초등학교,42069,3669,4323,3657,4323,12,257
가좌초등학교,42070,3633,2350,3628,2350,5,193
가좌테니스장,37454,2091,1012,2090,1012,1,100
가좌테니스장,37457,804,1141,804,1141,0,62
가좌현대아파트,42130,7923,2153,7912,2153,11,325
가좌현대아파트,42133,654,8047,650,8047,4,280
가좌홈플러스(쌍마아파트),42101,10988,7762,10900,7762,88,604
가좌홈플러스(쌍마아파트),42103,7780,12263,7705,12263,75,646
가좌환경사업소,42631,7628,4746,7618,4746,10,399
가좌환경사업소 북측,89341,220,370,220,370,0,19
가좌환경사업소북측,89342,23,210,23,210,0,7
가천대학교,38270,1119,969,1119,969,0,67
가천대학교,38284,7863,2799,7863,2799,0,343
가천대학교(노인복지회관),38269,716,1044,716,1044,0,56
가천의대,43237,5,21,5,21,0,0
가천의대,43897,2,1,2,1,0,0
가톨릭대,43156,3,2,3,2,0,0
가톨릭대,43325,0,54,0,54,0,1
가현오일뱅크,42734,40,17,40,17,0,1
가현중학교,42722,3027,2170,3001,2170,26,167
가현초교앞(루에블리아파트),89242,2223,3694,2206,3694,17,190
가현초교앞(센트럴타운아파트),89243,5117,1648,5112,1648,5,218
각곡,43602,7,89,7,89,0,3
