특성별(1),특성별(2),통근 및 통학 지역(퍼센트)_인천,통근 및 통학 지역(퍼센트)_서울,통근 및 통학 지역(퍼센트)_경기,통근 및 통학 지역(퍼센트)_대전_세종_충북_충남,통근 및 통학 지역(퍼센트)_부산_대구_울산_경북_경남,통근 및 통학 지역(퍼센트)_강원,통근 및 통학 지역(퍼센트)_제주,통근 및 통학 지역(퍼센트)_광주_전북_전남,통근 및 통학 소요시간(편도)_30분 미만(퍼센트),통근 및 통학 소요시간(편도)_30분 이상_60분 미만(퍼센트),통근 및 통학 소요시간(편도)_60분 이상_90분 미만(퍼센트),통근 및 통학 소요시간(편도)_90분 이상_120분 미만(퍼센트),통근 및 통학 소요시간(편도)_120분 이상(퍼센트),통근 및 통학 소요시간(편도)_평균(분)
군구별,강화군,87.3,3.3,9.5,0,0,0,0,0,54.5,20.1,22.3,1.8,1.3,30.75
군구별,옹진군,95.9,1.8,2.3,0,0,0,0,0,74.6,8.2,15.3,1.8,0.1,21.97
군구별,중구,86.2,8.8,4.2,0.2,0.6,0,0,0,61.8,17.6,14.6,3.7,2.2,32.12
군구별,동구,88.6,3.8,7.6,0,0,0,0,0,43.8,34.4,20.1,1.7,0,33.17
군구별,미추홀구,86.6,7.6,5.7,0.1,0,0,0,0,42.9,39.5,13,2.6,2,33.48
군구별,연수구,84.7,11.1,4.2,0,0,0,0,0,45.9,37.1,14.6,2.1,0.2,31.87
군구별,남동구,80.6,6.8,12.2,0.4,0,0.1,0,0,40.9,35.7,17.1,4.7,1.6,36.31
군구별,부평구,64.2,17.4,17.4,0.5,0.1,0.1,0.1,0.1,31,37.8,23.4,5.9,2,41.29
군구별,계양구,68.9,14.3,16.4,0.4,0,0,0,0,43.1,34.4,16.8,3.9,1.9,35.54
군구별,서구,73.3,14.8,11.5,0.3,0.1,,0,0,34,39.3,20.9,4.3,1.4,39.48
성별,남자,75.1,12,12.4,0.4,0.1,0.1,0,,37.1,37.9,19.1,4.1,1.8,37.62
성별,여자,80.7,10.9,8.2,0.1,,0,,0,45.9,33,16.5,3.6,1,34.09
연령별,13 ~ 19세,95.1,2.7,2.2,0,0,0,0,0,65.9,20.6,12.2,1.1,0.2,25.97
연령별,20 ~ 29세,64.1,21.4,13.9,0.6,0,0,0,0,29.9,35.1,22.3,9.5,3.3,44.9
연령별,30 ~ 39세,69.3,17.3,13.2,0.2,0,0,0,0,31.8,42,21.1,4,1.1,38.7
연령별,40 ~ 49세,76.1,10.9,12.5,,0.2,0.2,0,0.1,37.7,37.5,19.5,3.5,1.7,37.42
연령별,50 ~ 59세,80.8,8.6,10.2,0.4,,0,0.1,0,41.7,40,14.8,2.4,1.2,33.82
연령별,60세 이상,86.5,4.9,8.1,0.3,0.1,0.1,0,0,49,32,16,2,1,31.97
학력별,초졸이하,96.8,1.6,1.7,0,0,0,0,0,67,19,13.2,0.3,0.4,25.11
학력별,중졸,93.8,1.8,4.3,0.1,0,0,0,0,60.7,26.5,11.7,0.3,0.8,26.91
학력별,고졸,78.3,9.3,12.2,0.2,,,0,0,39.8,37.7,16.4,4.3,1.8,36.26
학력별,대졸이상,70.8,16.8,11.7,0.4,0.1,0.1,,,34.1,38.4,21.3,4.7,1.5,39.38
직업별,전문관리,71.8,13.7,13.6,0.6,0.2,0,0.1,0,35.9,36.6,20.6,5.4,1.6,38.98
직업별,사무,68.5,20.9,10.4,0.2,0.1,,0,0,27.6,44.5,22.3,4.4,1.2,40.75
직업별,서비스판매,84.3,7.7,7.8,0.2,,0,0,0,50.1,32.1,15.1,2,0.6,31.27
직업별,농어업,98.1,0.8,0.2,0,0.9,0,0,0,45.6,13.7,38.9,0.2,1.6,36.67
직업별,기능노무,80.8,4.6,14.2,0.2,,0.2,0,0.1,40.3,41.8,13.9,2.2,1.8,34.18
직업별,학생,79.1,11,9.5,0.4,0,0,0,0,50.3,22.5,17,7.1,3,37.05
월평균소득별,100만원 미만,85.9,3.3,10.3,0.6,0,0,0,0,55.9,26.3,13.6,2.1,2.1,30.29
월평균소득별,100~200만원 미만,86.2,4.3,9.3,0,0.2,0,0,0,49.4,30.4,16.8,2.3,1.1,32.12
월평균소득별,200~300만원 미만,82.2,7.8,9.6,0.2,0,0.1,0,0.1,44.9,33.2,17.4,3.1,1.4,34.11
월평균소득별,300~400만원 미만,78.3,9.4,12.1,0.2,0,0.1,0,0,41.4,37.3,16.5,3.4,1.3,34.96
월평균소득별,400~500만원 미만,77.1,12,10.4,0.5,,0.1,0,0,41.2,35.6,17.4,4.1,1.6,36.23
월평균소득별,500~600만원 미만,73.4,14.2,11.8,0.6,0.1,0,0,0,37.9,36.9,18.6,4.7,1.9,38.36
월평균소득별,600~700만원 미만,74.7,15.1,9.8,0.1,0.3,0,0,0,38,38,18,4.8,1.2,37.59
월평균소득별,700만원 이상,72.2,17.6,9.9,0.1,0.1,0.1,0.1,0,33.1,38.7,22.4,4.6,1.3,39.43
주거형태별,단독주택,85.6,7.1,7,0.2,0.1,0,0,0,42.8,35.5,18.6,2.1,1.1,33.68
주거형태별,아파트,76,12.8,10.8,0.3,0.1,0.1,,,40,35.2,19,4.4,1.4,37
주거형태별,연립/다세대주택,80.3,9.3,10.1,0.3,,,0,0,41.5,37.8,15.6,3.3,1.8,35.18
주거형태별,기타,71.7,12.9,14.9,0.5,0,0,0,0,42.8,35.6,16.9,3.1,1.5,34.92
주거점유형태별,자가,76.6,12,10.9,0.3,0.1,,,0,39.9,36,18.4,4.2,1.6,36.69
주거점유형태별,전세,76.6,12.9,10.2,0.1,0.1,0.1,0,0,40.8,35.7,18.8,3.4,1.2,36.25
주거점유형태별,월세 및 기타,82.3,7.3,10,0.2,0.1,0.1,0,0.1,44.9,35.5,14.9,3.1,1.5,33.43
가구원수별,1인,84,6.7,9.2,0,0,0.1,0,0,47.6,35.3,14.5,1.9,0.8,31.45
가구원수별,2인,81.9,8.4,9.5,0.1,0,,,0,43.1,34.6,18.7,2.7,1,34.35
가구원수별,3인,74.5,12.8,12.3,0.2,0.1,,0,,37.1,37.9,18.4,5.1,1.5,38.01
가구원수별,4인,73.4,15.2,10.8,0.4,0.2,,0,0,38.1,36.4,18.9,4.7,1.9,38.16
가구원수별,5인 이상,78.9,9.7,10.4,1,0,0,0,0,46.8,31.4,16,3.3,2.5,34.69
