"기준일자","승차_호선","하차_호선","총_승객수","일반_승객수","어린이_승객수","청소년_승객수","대학생_승객수","경로_승객수","장애인_승객수","국가유공자_승객수","직원_승객수","외국인경로_승객수"
"20240226","1호선","1호선","46409","29197","457","532","0","13844","2165","167","0","47"
"20240226","1호선","2호선","22270","17674","301","512","0","3132","587","42","0","22"
"20240226","1호선","3호선","15899","11247","162","216","0","3705","516","44","0","9"
"20240226","1호선","4호선","24495","18417","416","409","0","4474","730","42","0","7"
"20240226","1호선","5호선","8802","6470","88","135","0","1798","282","26","0","3"
"20240226","1호선","6호선","10951","7333","120","154","0","2881","437","25","0","1"
"20240226","1호선","7호선","6773","4722","49","68","0","1667","247","18","0","2"
"20240226","1호선","7호선(인천)","1918","1602","10","21","0","239","42","4","0","0"
"20240226","1호선","8호선","894","637","5","10","0","208","32","1","0","1"
"20240226","1호선","9호선","7162","5657","64","79","0","1104","238","16","0","4"
"20240226","1호선","9호선(연장)","895","727","17","20","0","108","16","7","0","0"
"20240226","1호선","경강선","168","93","3","2","0","64","6","0","0","0"
"20240226","1호선","경부선","30498","24431","273","402","0","4526","793","73","0","0"
"20240226","1호선","경원선","26917","18314","207","308","0","6901","1093","94","0","0"
"20240226","1호선","경의중앙선","1095","665","10","12","0","349","54","5","0","0"
"20240226","1호선","경인선","18685","14840","133","181","0","3010","493","28","0","0"
"20240226","1호선","경춘선","1714","1092","23","25","0","493","76","5","0","0"
"20240226","1호선","공항철도1호선","3350","3027","45","43","0","195","33","7","0","0"
"20240226","1호선","과천선","3162","2673","34","27","0","361","62","5","0","0"
"20240226","1호선","김포골드라인","694","481","6","7","0","177","21","2","0","0"
"20240226","1호선","분당선","1656","1108","13","19","0","461","49","6","0","0"
"20240226","1호선","서해선","1282","967","9","7","0","251","45","3","0","0"
"20240226","1호선","수인선","297","172","4","5","0","101","15","0","0","0"
"20240226","1호선","신림선","2310","1804","11","19","0","406","66","3","0","1"
"20240226","1호선","신분당선","475","314","1","5","0","134","19","2","0","0"
"20240226","1호선","신분당선(연장)","609","369","4","4","0","216","12","4","0","0"
"20240226","1호선","신분당선(연장2)","130","70","0","4","0","51","5","0","0","0"
"20240226","1호선","안산선","1826","1347","20","40","0","364","50","5","0","0"
"20240226","1호선","에버라인선","32","8","2","0","0","19","3","0","0","0"
"20240226","1호선","우이신설선","4269","2723","17","54","0","1296","170","8","0","1"
"20240226","1호선","의정부선","879","759","13","15","0","78","12","2","0","0"
"20240226","1호선","인천1호선","2138","1678","22","21","0","357","57","2","0","1"
"20240226","1호선","인천2호선","1318","1006","5","14","0","243","47","3","0","0"
"20240226","1호선","일산선","3931","2735","18","44","0","1004","118","12","0","0"
"20240226","1호선","장항선","118","47","1","4","0","59","7","0","0","0"
"20240226","1호선","중앙선","8257","5748","52","134","0","2022","294","7","0","0"
"20240226","1호선","진접선","732","520","9","25","0","155","19","4","0","0"
"20240226","2호선","1호선","20665","16126","255","391","0","3256","566","44","0","27"
"20240226","2호선","2호선","797661","677833","11793","20480","0","72495","13526","908","0","626"
