구,주유소명,주소,전화번호,상표,고급휘발유,휘발유,경유,실내등유,셀프,세차장,충전소,경정비,편의점,24시영업
강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,02-544-4075,SK에너지,"2,027","1,797","1,727",,Y,Y,N,N,N,Y
강남구,(주)만정에너지 삼보주유소,서울 강남구 봉은사로 433 (삼성동),02-518-5141,GS칼텍스,"2,838","2,598","2,560","1,850",N,Y,N,N,N,N
강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),02-445-6870,SK에너지,,"1,655","1,553",,Y,Y,N,N,N,N
강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),02-2058-3024,S-OIL,"1,869","1,739","1,635",,N,Y,N,Y,N,N
강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,02-565-0267,GS칼텍스,"2,385","2,195","2,086","1,650",N,Y,N,N,N,N
강남구,(주)제이제이네트웍스 제이제이주유소,서울 강남구 언주로 716,02-518-5631,HD현대오일뱅크,"2,850","2,580","2,430",,N,Y,N,N,N,Y
강남구,(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),070-8707-4582,SK에너지,"1,987","1,757","1,657",,Y,Y,N,N,N,N
강남구,HD현대오일뱅크㈜직영 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),02-529-5101,HD현대오일뱅크,"1,804","1,689","1,589",,Y,Y,N,Y,N,N
강남구,HD현대오일뱅크㈜직영 산성셀프주유소,서울 강남구 헌릉로 730,02-2226-4963,HD현대오일뱅크,"1,859","1,665","1,565",,Y,Y,N,N,N,N
강남구,HD현대오일뱅크㈜직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),02-546-2182,HD현대오일뱅크,"2,265","1,948","1,884",,N,Y,N,N,N,N
강남구,HD현대오일뱅크㈜직영 유진주유소,서울 강남구 논현로 152 (도곡동),02-3462-5215,HD현대오일뱅크,"1,819","1,699","1,604","1,570",N,Y,N,Y,N,N
강남구,HD현대오일뱅크㈜직영 한양주유소,서울 강남구 압구정로 302 (신사동),02-3444-0804,HD현대오일뱅크,"2,375","2,173","2,096",,N,Y,N,N,N,N
강남구,SK논현주유소,서울 강남구 논현로 747 (논현동),02-511-0955,SK에너지,"2,690","2,450","2,295","1,798",N,Y,N,Y,N,Y
강남구,SK서광주유소,서울 강남구 역삼로 142,02-562-4855,SK에너지,"1,890","1,735","1,615",,Y,Y,N,Y,N,Y
강남구,SK에너지㈜ 진달래주유소,서울 강남구 도곡로 208,02-3462-0018,SK에너지,"1,899","1,759","1,665",,N,Y,N,N,N,N
강남구,㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,02-543-1154,HD현대오일뱅크,"2,397","2,198","1,998",,N,Y,N,N,N,Y
강남구,극동유화㈜ 개나리주유소,서울 강남구 언주로 423 (역삼동),02-564-0186,S-OIL,"1,875","1,685","1,595",,Y,Y,N,Y,N,Y
강남구,대교셀프주유소,서울 강남구 강남대로 640 (신사동),02-512-5521,SK에너지,"1,990","1,740","1,680",,Y,N,N,N,N,Y
강남구,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),02-545-6161,SK에너지,"2,027","1,797","1,737",,Y,Y,N,N,N,Y
강남구,대성석유(주)동호주유소,서울 강남구 봉은사로113길 51,02-545-0720,GS칼텍스,"2,091","1,999","1,892",,N,Y,N,N,N,N
강남구,대청주유소,서울 강남구 개포로 654 (일원동),02-445-5500,SK에너지,"2,489","2,195","2,086","1,846",N,Y,N,N,N,N
강남구,명품주유소,서울 강남구 도곡로 249 (역삼동),02-501-1256,S-OIL,"2,297","2,178","2,067",,Y,Y,N,N,N,Y
강남구,방죽주유소,서울 강남구 밤고개로 215 (율현동),02-459-3434,GS칼텍스,,"1,687","1,589",,Y,Y,N,N,N,N
강남구,삼성동주유소,서울 강남구 테헤란로 619 (삼성동),02-508-6572,HD현대오일뱅크,"1,935","1,725","1,625",,Y,Y,N,N,N,N
강남구,세진에너지(주) 개포주유소,서울 강남구 양재대로 339,02-573-9031,GS칼텍스,"2,255","1,888","1,778","1,650",Y,Y,N,N,N,N
강남구,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),02-3462-5100,SK에너지,"1,855","1,675","1,595",,Y,Y,N,Y,N,Y
강남구,일원주유소,서울 강남구 양재대로55길 3 (일원동),02-2226-5188,S-OIL,,"1,729","1,628",,Y,N,N,N,N,N
강남구,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),02-445-5841,SK에너지,,"1,698","1,597",,Y,Y,N,N,N,N
강남구,지에스칼텍스(주)학여울주유소,서울 강남구 남부순환로 3170 (일원2동),02-459-8829,GS칼텍스,"2,299","2,089","2,015",,N,Y,N,N,N,N
강남구,지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),02-538-5138,GS칼텍스,"2,139","1,959","1,909",,Y,Y,N,N,N,Y
강남구,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,02-3452-1882,GS칼텍스,"2,159","1,979","1,929",,N,Y,N,Y,N,Y
강남구,지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),02-539-5145,GS칼텍스,"1,989","1,789","1,749",,Y,N,N,Y,N,Y
강동구,(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),02-441-3327,GS칼텍스,"1,895","1,695","1,595","1,599",Y,Y,N,N,Y,N
강동구,(주)소모 성내주유소,서울 강동구 올림픽로 578 (성내동),02-479-3838,GS칼텍스,,"1,768","1,668",,Y,Y,N,Y,N,N
강동구,(주)소모 신월주유소,서울 강동구 양재대로 1323 (성내동),02-6956-6674,GS칼텍스,"1,896","1,696","1,598","1,590",Y,Y,N,N,N,N
강동구,(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),02-484-1162,S-OIL,,"1,750","1,650",,Y,Y,N,N,N,N
강동구,sk해뜨는주유소,서울 강동구  상일로 132 (강일동),02-442-7801,SK에너지,"1,929","1,699","1,609","1,600",Y,Y,N,Y,N,N
강동구,광성주유소,서울 강동구 올림픽로 673 (천호동),02-470-5133,S-OIL,,"1,968","1,858","1,800",N,Y,N,Y,N,Y
강동구,구천면주유소,서울 강동구 구천면로 357 (암사동),02-441-0536,HD현대오일뱅크,,"1,654","1,565",,N,N,N,N,N,N
강동구,대성석유(주)길동주유소,서울 강동구 천호대로 1168,02-474-7222,GS칼텍스,"1,895","1,696","1,598","1,500",N,Y,N,N,N,N
강동구,명일주유소,서울 강동구 고덕로 168 (명일동),02-3428-1739,SK에너지,"1,925","1,715","1,615",,Y,N,N,N,N,N
강동구,방아다리주유소,서울 강동구 동남로 811 (명일동),02-442-5145,SK에너지,,"1,665","1,575","1,500",Y,Y,N,N,N,N
강동구,재건에너지 재정제2주유소 고속셀프지점,서울특별시 강동구  천호대로 1246 (둔촌제2동),02-487-2030,HD현대오일뱅크,,"1,649","1,549",,Y,Y,N,N,N,N
강동구,주)지유에너지직영 오렌지주유소,서울 강동구 성안로 102 (성내동),02-484-6165,SK에너지,"1,894","1,734","1,634",,N,Y,N,Y,N,N
강동구,지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),02-426-5372,GS칼텍스,"1,969","1,799","1,729",,Y,Y,N,N,N,N
강동구,천호현대주유소,서울 강동구 천중로 67 (천호동),02-484-9323,HD현대오일뱅크,,"1,843","1,743",,N,Y,N,Y,N,N
강북구,(주)서울에너지 시민주유소,서울 강북구 인수봉로 185 (수유동),02-907-9496,HD현대오일뱅크,"1,829","1,599","1,504",,Y,N,N,N,N,N
강북구,(주)석산에너지,서울 강북구 삼양로 316 (수유동),02-980-1448,HD현대오일뱅크,,"1,599","1,504","1,400",Y,N,N,N,N,N
강북구,HD현대오일뱅크㈜직영 번동셀프주유소,서울 강북구 한천로 963 (번동),02-992-3331,HD현대오일뱅크,"1,879","1,627","1,537",,Y,Y,N,Y,N,Y
강북구,SK에너지(주) 매일주유소,서울 강북구 삼양로 217 (미아동),02-982-8855,SK에너지,,"1,609","1,514",,Y,Y,N,N,Y,N
강북구,㈜지에스이앤알 미아주유소,서울 강북구 도봉로 122 (미아동),02-987-5152,GS칼텍스,"1,899","1,637","1,537",,Y,Y,N,N,N,N
강북구,대성석유(주)신광주유소,서울 강북구 삼양로 484,02-908-3320,GS칼텍스,,"1,629","1,539","1,450",N,Y,N,Y,N,N
강북구,덕릉로주유소,서울 강북구 덕릉로 158 (번동),02-989-9806,S-OIL,,"1,625","1,529",,Y,Y,N,N,N,N
강북구,북서울고속주유소,서울 강북구 삼양로 410 (수유동),02-907-5182,SK에너지,"1,819","1,599","1,504",,Y,N,N,N,N,Y
강북구,세원주유소,서울 강북구 한천로 918 (번동),02-907-6890,SK에너지,,"1,638","1,538","1,420",Y,Y,N,N,N,N
