시즌,에피소드,에피소드 이름,날짜,평점
1,1,Pilot,"Mon, Sep 24, 2007",8.1
1,2,The Big Bran Hypothesis,"Mon, Oct 1, 2007",8.2
1,3,The Fuzzy Boots Corollary,"Mon, Oct 8, 2007",7.6
1,4,The Luminous Fish Effect,"Mon, Oct 15, 2007",8.0
1,5,The Hamburger Postulate,"Mon, Oct 22, 2007",7.9
1,6,The Middle Earth Paradigm,"Mon, Oct 29, 2007",8.3
1,7,The Dumpling Paradox,"Mon, Nov 5, 2007",8.1
1,8,The Grasshopper Experiment,"Mon, Nov 12, 2007",8.2
1,9,The Cooper-Hofstadter Polarization,"Mon, Mar 17, 2008",8.0
1,10,The Loobenfeld Decay,"Mon, Mar 24, 2008",8.0
1,11,The Pancake Batter Anomaly,"Mon, Mar 31, 2008",8.2
1,12,The Jerusalem Duality,"Mon, Apr 14, 2008",7.8
1,13,The Bat Jar Conjecture,"Mon, Apr 21, 2008",8.2
1,14,The Nerdvana Annihilation,"Mon, Apr 28, 2008",8.0
1,15,The Pork Chop Indeterminacy,"Mon, May 5, 2008",8.2
1,16,The Peanut Reaction,"Mon, May 12, 2008",8.3
1,17,The Tangerine Factor,"Mon, May 19, 2008",8.5
2,1,The Bad Fish Paradigm,"Mon, Sep 22, 2008",8.2
2,2,The Codpiece Topology,"Mon, Sep 29, 2008",8.0
2,3,The Barbarian Sublimation,"Mon, Oct 6, 2008",8.7
2,4,The Griffin Equivalency,"Mon, Oct 13, 2008",7.9
2,5,The Euclid Alternative,"Mon, Oct 20, 2008",8.3
2,6,The Cooper-Nowitzki Theorem,"Mon, Nov 3, 2008",8.2
2,7,The Panty Piñata Polarization,"Mon, Nov 10, 2008",8.6
2,8,The Lizard-Spock Expansion,"Mon, Nov 17, 2008",8.0
2,9,The White Asparagus Triangulation,"Mon, Nov 24, 2008",8.1
2,10,The Vartabedian Conundrum,"Mon, Dec 8, 2008",7.6
2,11,The Bath Item Gift Hypothesis,"Mon, Dec 15, 2008",9.1
2,12,The Killer Robot Instability,"Mon, Jan 12, 2009",7.9
2,13,The Friendship Algorithm,"Mon, Jan 19, 2009",7.9
2,14,The Financial Permeability,"Mon, Feb 2, 2009",8.0
2,15,The Maternal Capacitance,"Mon, Feb 9, 2009",8.8
2,16,The Cushion Saturation,"Mon, Mar 2, 2009",8.1
2,17,The Terminator Decoupling,"Mon, Mar 9, 2009",8.0
2,18,The Work Song Nanocluster,"Mon, Mar 16, 2009",8.1
2,19,The Dead Hooker Juxtaposition,"Mon, Mar 30, 2009",8.1
2,20,The Hofstadter Isotope,"Mon, Apr 13, 2009",7.9
2,21,The Vegas Renormalization,"Mon, Apr 27, 2009",8.5
2,22,The Classified Materials Turbulence,"Mon, May 4, 2009",8.1
